Barcode,region
s_008um_00381_00252-1,Colon
s_008um_00354_00203-1,Colon
s_008um_00438_00207-1,Colon
s_008um_00573_00493-1,SI
s_008um_00457_00235-1,Colon
s_008um_00446_00256-1,Colon
s_008um_00473_00228-1,Colon
s_008um_00550_00268-1,Colon
s_008um_00612_00451-1,SI
s_008um_00581_00431-1,SI
s_008um_00401_00502-1,SI
s_008um_00496_00495-1,SI
s_008um_00334_00309-1,Colon
s_008um_00398_00212-1,Colon
s_008um_00335_00286-1,Colon
s_008um_00306_00592-1,SI
s_008um_00459_00265-1,Colon
s_008um_00344_00286-1,Colon
s_008um_00572_00434-1,SI
s_008um_00378_00223-1,Colon
s_008um_00423_00228-1,Colon
s_008um_00518_00254-1,Colon
s_008um_00349_00535-1,SI
s_008um_00527_00266-1,Colon
s_008um_00454_00535-1,SI
s_008um_00503_00218-1,Colon
s_008um_00438_00543-1,SI
s_008um_00395_00219-1,Colon
s_008um_00414_00250-1,Colon
s_008um_00357_00283-1,Colon
s_008um_00482_00504-1,SI
s_008um_00400_00246-1,Colon
s_008um_00315_00543-1,SI
s_008um_00421_00210-1,Colon
s_008um_00367_00304-1,Colon
s_008um_00493_00476-1,SI
s_008um_00448_00250-1,Colon
s_008um_00565_00447-1,SI
s_008um_00321_00550-1,SI
s_008um_00386_00204-1,Colon
s_008um_00315_00540-1,SI
s_008um_00450_00226-1,Colon
s_008um_00541_00216-1,Colon
s_008um_00466_00498-1,SI
s_008um_00580_00243-1,Colon
s_008um_00391_00532-1,SI
s_008um_00468_00517-1,SI
s_008um_00594_00234-1,Colon
s_008um_00286_00568-1,SI
s_008um_00385_00223-1,Colon
s_008um_00371_00240-1,Colon
s_008um_00553_00491-1,SI
s_008um_00605_00463-1,SI
s_008um_00316_00552-1,SI
s_008um_00522_00451-1,SI
s_008um_00403_00545-1,SI
s_008um_00503_00264-1,Colon
s_008um_00459_00540-1,SI
s_008um_00521_00278-1,Colon
s_008um_00580_00222-1,Colon
s_008um_00352_00294-1,Colon
s_008um_00427_00242-1,Colon
s_008um_00315_00535-1,SI
s_008um_00328_00247-1,Colon
s_008um_00462_00480-1,SI
s_008um_00510_00269-1,Colon
s_008um_00594_00260-1,Colon
s_008um_00385_00253-1,Colon
s_008um_00516_00259-1,Colon
s_008um_00340_00223-1,Colon
s_008um_00415_00527-1,SI
s_008um_00487_00225-1,Colon
s_008um_00526_00262-1,Colon
s_008um_00542_00467-1,SI
s_008um_00493_00512-1,SI
s_008um_00534_00278-1,Colon
s_008um_00538_00214-1,Colon
s_008um_00421_00552-1,SI
s_008um_00457_00251-1,Colon
s_008um_00500_00246-1,Colon
s_008um_00400_00527-1,SI
s_008um_00405_00235-1,Colon
s_008um_00598_00465-1,SI
s_008um_00402_00228-1,Colon
s_008um_00318_00296-1,Colon
s_008um_00370_00210-1,Colon
s_008um_00443_00203-1,Colon
s_008um_00497_00486-1,SI
s_008um_00632_00457-1,SI
s_008um_00343_00303-1,Colon
s_008um_00396_00296-1,Colon
s_008um_00348_00319-1,Colon
s_008um_00332_00245-1,Colon
s_008um_00490_00236-1,Colon
s_008um_00448_00526-1,SI
s_008um_00528_00210-1,Colon
s_008um_00574_00208-1,Colon
s_008um_00579_00265-1,Colon
s_008um_00305_00597-1,SI
s_008um_00415_00203-1,Colon
s_008um_00591_00474-1,SI
s_008um_00576_00239-1,Colon
s_008um_00575_00482-1,SI
s_008um_00557_00431-1,SI
s_008um_00320_00542-1,SI
s_008um_00347_00301-1,Colon
s_008um_00340_00515-1,SI
s_008um_00468_00237-1,Colon
s_008um_00612_00474-1,SI
s_008um_00563_00484-1,SI
s_008um_00323_00301-1,Colon
s_008um_00516_00260-1,Colon
s_008um_00462_00199-1,Colon
s_008um_00462_00218-1,Colon
s_008um_00399_00508-1,SI
s_008um_00478_00541-1,SI
s_008um_00507_00260-1,Colon
s_008um_00393_00215-1,Colon
s_008um_00389_00511-1,SI
s_008um_00397_00196-1,Colon
s_008um_00431_00509-1,SI
s_008um_00387_00266-1,Colon
s_008um_00552_00242-1,Colon
s_008um_00399_00231-1,Colon
s_008um_00384_00531-1,SI
s_008um_00376_00221-1,Colon
s_008um_00420_00204-1,Colon
s_008um_00439_00254-1,Colon
s_008um_00426_00204-1,Colon
s_008um_00375_00264-1,Colon
s_008um_00455_00220-1,Colon
s_008um_00475_00260-1,Colon
s_008um_00480_00491-1,SI
s_008um_00473_00523-1,SI
s_008um_00353_00292-1,Colon
s_008um_00360_00268-1,Colon
s_008um_00311_00602-1,SI
s_008um_00445_00528-1,SI
s_008um_00393_00264-1,Colon
s_008um_00342_00210-1,Colon
s_008um_00590_00256-1,Colon
s_008um_00498_00270-1,Colon
s_008um_00297_00557-1,SI
s_008um_00296_00558-1,SI
s_008um_00529_00246-1,Colon
s_008um_00465_00516-1,SI
s_008um_00431_00538-1,SI
s_008um_00362_00263-1,Colon
s_008um_00338_00268-1,Colon
s_008um_00331_00278-1,Colon
s_008um_00376_00226-1,Colon
s_008um_00405_00501-1,SI
s_008um_00324_00533-1,SI
s_008um_00536_00234-1,Colon
s_008um_00407_00205-1,Colon
s_008um_00338_00297-1,Colon
s_008um_00520_00241-1,Colon
s_008um_00433_00256-1,Colon
s_008um_00557_00268-1,Colon
s_008um_00479_00243-1,Colon
s_008um_00425_00489-1,SI
s_008um_00563_00253-1,Colon
s_008um_00396_00251-1,Colon
s_008um_00375_00536-1,SI
s_008um_00571_00208-1,Colon
s_008um_00338_00253-1,Colon
s_008um_00454_00508-1,SI
s_008um_00433_00267-1,Colon
s_008um_00590_00444-1,SI
s_008um_00341_00523-1,SI
s_008um_00535_00206-1,Colon
s_008um_00585_00263-1,Colon
s_008um_00559_00209-1,Colon
s_008um_00375_00530-1,SI
s_008um_00600_00474-1,SI
s_008um_00508_00250-1,Colon
s_008um_00335_00515-1,SI
s_008um_00464_00221-1,Colon
s_008um_00502_00273-1,Colon
s_008um_00434_00253-1,Colon
s_008um_00528_00281-1,Colon
s_008um_00318_00287-1,Colon
s_008um_00393_00520-1,SI
s_008um_00457_00528-1,SI
s_008um_00398_00268-1,Colon
s_008um_00545_00246-1,Colon
s_008um_00511_00226-1,Colon
s_008um_00544_00471-1,SI
s_008um_00309_00557-1,SI
s_008um_00431_00253-1,Colon
s_008um_00427_00549-1,SI
s_008um_00358_00272-1,Colon
s_008um_00380_00291-1,Colon
s_008um_00527_00257-1,Colon
s_008um_00549_00268-1,Colon
s_008um_00428_00235-1,Colon
s_008um_00513_00249-1,Colon
s_008um_00467_00203-1,Colon
s_008um_00404_00515-1,SI
s_008um_00607_00457-1,SI
s_008um_00491_00493-1,SI
s_008um_00387_00506-1,SI
s_008um_00355_00229-1,Colon
s_008um_00422_00547-1,SI
s_008um_00557_00498-1,SI
s_008um_00443_00533-1,SI
s_008um_00579_00230-1,Colon
s_008um_00433_00544-1,SI
s_008um_00411_00259-1,Colon
s_008um_00477_00505-1,SI
s_008um_00318_00295-1,Colon
s_008um_00483_00249-1,Colon
s_008um_00366_00264-1,Colon
s_008um_00603_00470-1,SI
s_008um_00394_00216-1,Colon
s_008um_00366_00532-1,SI
s_008um_00333_00291-1,Colon
s_008um_00442_00502-1,SI
s_008um_00529_00251-1,Colon
s_008um_00564_00229-1,Colon
s_008um_00359_00534-1,SI
s_008um_00461_00491-1,SI
s_008um_00393_00261-1,Colon
s_008um_00542_00498-1,SI
s_008um_00413_00538-1,SI
s_008um_00426_00542-1,SI
s_008um_00425_00245-1,Colon
s_008um_00578_00486-1,SI
s_008um_00566_00276-1,Colon
s_008um_00460_00233-1,Colon
s_008um_00473_00520-1,SI
s_008um_00439_00547-1,SI
s_008um_00452_00233-1,Colon
s_008um_00562_00226-1,Colon
s_008um_00513_00462-1,SI
s_008um_00515_00228-1,Colon
s_008um_00529_00210-1,Colon
s_008um_00299_00601-1,SI
s_008um_00524_00233-1,Colon
s_008um_00333_00546-1,SI
s_008um_00576_00439-1,SI
s_008um_00368_00289-1,Colon
s_008um_00494_00476-1,SI
s_008um_00384_00234-1,Colon
s_008um_00587_00245-1,Colon
s_008um_00344_00283-1,Colon
s_008um_00523_00484-1,SI
s_008um_00321_00300-1,Colon
s_008um_00372_00203-1,Colon
s_008um_00448_00193-1,Colon
s_008um_00386_00200-1,Colon
s_008um_00343_00256-1,Colon
s_008um_00334_00527-1,SI
s_008um_00479_00259-1,Colon
s_008um_00433_00557-1,SI
s_008um_00453_00260-1,Colon
s_008um_00522_00217-1,Colon
s_008um_00405_00541-1,SI
s_008um_00340_00316-1,Colon
s_008um_00380_00213-1,Colon
s_008um_00580_00245-1,Colon
s_008um_00543_00253-1,Colon
s_008um_00594_00468-1,SI
s_008um_00362_00299-1,Colon
s_008um_00382_00528-1,SI
s_008um_00393_00537-1,SI
s_008um_00527_00285-1,Colon
s_008um_00605_00456-1,SI
s_008um_00391_00535-1,SI
s_008um_00435_00553-1,SI
s_008um_00401_00209-1,Colon
s_008um_00550_00438-1,SI
s_008um_00559_00256-1,Colon
s_008um_00403_00245-1,Colon
s_008um_00337_00242-1,Colon
s_008um_00356_00277-1,Colon
s_008um_00496_00230-1,Colon
s_008um_00334_00292-1,Colon
s_008um_00411_00494-1,SI
s_008um_00532_00283-1,Colon
s_008um_00416_00560-1,SI
s_008um_00452_00516-1,SI
s_008um_00486_00503-1,SI
s_008um_00536_00265-1,Colon
s_008um_00428_00526-1,SI
s_008um_00458_00246-1,Colon
s_008um_00392_00281-1,Colon
s_008um_00503_00488-1,SI
s_008um_00355_00265-1,Colon
s_008um_00427_00257-1,Colon
s_008um_00490_00499-1,SI
s_008um_00359_00227-1,Colon
s_008um_00407_00494-1,SI
s_008um_00559_00273-1,Colon
s_008um_00413_00224-1,Colon
s_008um_00401_00264-1,Colon
s_008um_00542_00234-1,Colon
s_008um_00595_00459-1,SI
s_008um_00428_00221-1,Colon
s_008um_00475_00539-1,SI
s_008um_00469_00506-1,SI
s_008um_00331_00300-1,Colon
s_008um_00472_00524-1,SI
s_008um_00575_00485-1,SI
